de,en,cat,ex,pos,tr
das Taxi,taxi,Goethe A2,Bitte rufen Sie mir ein Taxi.,,taksi
das Team,team,Goethe A2,Ich arbeite gern in einem Team.,,"ekip, takım"
der Tee,tea,Goethe A2,Ich trinke morgens immer Tee.,,çay
unbedingt,"absolutely, definitely",Goethe A2,Ich muss unbedingt mit dir sprechen.,,"kesinlikle, mutlaka"
und,and,Goethe A2,Ich kaufe ein und mein Mann kocht.,,ve
der Unfall,accident,Goethe A2,Ich hatte gestern einen Unfall.,,kaza
die Universität,university,Goethe A2,Er studiert an der Universität Freiburg.,,üniversite
unten,"downstairs, below",Goethe A2,Er wohnt ganz unten im Haus.,,aşağıda
unter,under,Goethe A2,Unter uns wohnt eine Familie mit drei Kindern.,,altında
sich unterhalten,"to converse, chat",Goethe A2,Wir haben uns über das Fußballspiel unterhalten.,,sohbet etmek
die Unterkunft,accommodation,Goethe A2,Ich suche noch eine Unterkunft in Basel.,,konaklama yeri
unternehmen,"to do, undertake",Goethe A2,Wollen wir heute Abend etwas unternehmen?,,"yapmak, girişimde bulunmak"
der Unterricht,"lesson, class",Goethe A2,Der Unterricht dauert bis 19 Uhr.,,ders
der Unterschied,difference,Goethe A2,Was ist der Unterschied zwischen den beiden Kursen?,,fark
unterschreiben,to sign,Goethe A2,Wo muss ich unterschreiben?,,imzalamak
die Unterschrift,signature,Goethe A2,Hier fehlt noch Ihre Unterschrift.,,imza
untersuchen,to examine,Goethe A2,Der Arzt hat mich untersucht.,,muayene etmek
unterwegs sein,to be on the way,Goethe A2,Ich bin unterwegs und komme gleich.,,yolda olmak
der Urlaub,vacation,Goethe A2,Ich nehme im September Urlaub.,,tatil (izin)
verabredet sein,to have a date/appointment,Goethe A2,Ich bin mit meiner Freundin verabredet.,,buluşmaya gitmek
die Veranstaltung,event,Goethe A2,Wir haben eine Veranstaltung.,,etkinlik
verbieten,to forbid,Goethe A2,Hier ist Rauchen verboten.,,yasaklamak
verdienen,to earn,Goethe A2,Ich verdiene 1.500 Euro im Monat.,,kazanmak (para)
der Verein,"club, association",Goethe A2,Es gibt einen neuen Sportverein in der Stadt.,,"kulüp, dernek"
vereinbaren,"to arrange, agree on",Goethe A2,Können wir einen Termin vereinbaren?,,kararlaştırmak
vergessen,to forget,Goethe A2,Ich habe meine Hausaufgaben vergessen.,,unutmak
die Treppe,stairs,Goethe A2,"Ich nehme die Treppe, nicht den Aufzug.",,merdiven
trinken,to drink,Goethe A2,Möchtest du etwas trinken?,,içmek
trocken,dry,Goethe A2,Die Wäsche ist bald trocken.,,kuru
tschüs,bye,Goethe A2,"Tschüs, bis morgen!",,hoşça kal
das T-Shirt,T-shirt,Goethe A2,Haben Sie dieses T-Shirt auch in M?,,tişört
tun,to do,Goethe A2,Was kann ich für Sie tun?,,yapmak
die Tür,door,Goethe A2,Mach bitte die Tür zu!,,kapı
typisch,typical,Goethe A2,Diese Musik ist typisch für dieses Land.,,tipik
üben,to practice,Goethe A2,Ich übe jeden Tag zwei Stunden.,,alıştırma yapmak
über,"over, about",Goethe A2,Sind Sie über 18?,,"üzerinde, hakkında"
überall,everywhere,Goethe A2,Ich habe überall gesucht.,,her yerde
übermorgen,the day after tomorrow,Goethe A2,Ich komme übermorgen wieder ins Büro.,,yarından sonraki gün
übernachten,to stay overnight,Goethe A2,Du kannst bei mir übernachten.,,geceyi geçirmek
übersetzen,to translate,Goethe A2,Können Sie mir den Brief bitte übersetzen?,,çevirmek
die Übersetzung,translation,Goethe A2,Ich brauche eine Übersetzung von meinem Zeugnis.,,çeviri
überweisen,to transfer (money),Goethe A2,Ich überweise dir das Geld.,,havale etmek
die Uhr,"clock, o'clock",Goethe A2,Es ist vier Uhr.,,saat
um,"at (time), around",Goethe A2,Er kommt um sieben Uhr.,,"saat (zaman), etrafında"
umsteigen,to change (trains/buses),Goethe A2,Sie müssen in Mannheim umsteigen.,,aktarma yapmak
umziehen,to move (relocate),Goethe A2,Nächsten Monat ziehen wir um.,,taşınmak
sich umziehen,to change clothes,Goethe A2,Ich muss mich noch umziehen.,,kıyafet değiştirmek
der Umzug,move (relocation),Goethe A2,Der Umzug ist nächste Woche.,,taşınma
der Volleyball,volleyball,Goethe A2,Ich spiele gern Volleyball.,,voleybol
von,"from, of",Goethe A2,Das Auto von Felix ist kaputt.,,"-den, -in"
vor,"before, in front of",Goethe A2,Das Auto steht vor der Tür.,,"önünde, önce"
vorbei,"past, by",Goethe A2,Kommst du morgen bei mir vorbei?,,"geçerek, uğrayarak"
vorbereiten,to prepare,Goethe A2,Ich muss mich auf meine Prüfung vorbereiten.,,hazırlamak
vorgestern,the day before yesterday,Goethe A2,Er hat mich vorgestern angerufen.,,önceki gün
vorher,"before, beforehand",Goethe A2,Vorher muss ich aber noch zur Bank.,,önceden
vorn(e),in front,Goethe A2,Bitte vorn(e) einsteigen!,,önde
der Vorname,first name,Goethe A2,"Ich heiße Müller, mein Vorname ist Eva.",,ad (isim)
der Vorschlag,suggestion,Goethe A2,Hast du einen guten Vorschlag?,,öneri
vorsichtig,careful,Goethe A2,Sei vorsichtig!,,dikkatli
sich vorstellen,to introduce oneself,Goethe A2,Können Sie sich bitte vorstellen?,,kendini tanıtmak
vorwärts,forward,Goethe A2,Fahren Sie bitte noch ein Stück vorwärts.,,ileri
wach,awake,Goethe A2,Bist du schon lange wach?,,uyanık
der Wagen,"car, carriage",Goethe A2,Wo steht Ihr Wagen?,,"araba, vagon"
wählen,"to choose, dial",Goethe A2,Sie müssen erst eine Null wählen.,,"seçmek, çevirmek"
wahr,true,Goethe A2,Das ist (nicht) wahr!,,"doğru, gerçek"
wahrscheinlich,probably,Goethe A2,Er kommt wahrscheinlich nicht.,,muhtemelen
der Wald,forest,Goethe A2,Im Wald ist es ruhig.,,orman
wandern,to hike,Goethe A2,Wir gehen oft wandern.,,yürüyüş yapmak (doğada)
wann,when,Goethe A2,Wann bist du fertig?,,ne zaman
warm,warm,Goethe A2,Hier ist es sehr warm.,,"ılık, sıcak"
warten,to wait,Goethe A2,Können Sie ein paar Minuten warten?,,beklemek
warum,why,Goethe A2,Warum kommt er nicht?,,neden
vergleichen,to compare,Goethe A2,Vergleichen Sie die Angebote!,,karşılaştırmak
verkaufen,to sell,Goethe A2,Er verkauft sein altes Auto.,,satmak
der Verkehr,traffic,Goethe A2,Morgens gibt es hier immer viel Verkehr.,,trafik
das Verkehrsmittel,means of transport,Goethe A2,Welche Verkehrsmittel benutzen Sie oft?,,ulaşım aracı
sich verletzen,to injure oneself,Goethe A2,Sind Sie verletzt?,,yaralanmak
sich verlieben,to fall in love,Goethe A2,Ich bin total verliebt.,,aşık olmak
verlieren,to lose,Goethe A2,Ich habe meinen Schlüssel verloren.,,kaybetmek
vermieten,to rent out,Goethe A2,Die Wohnung ist schon vermietet.,,kiraya vermek
der Vermieter,landlord,Goethe A2,Unser Vermieter ist nett.,,ev sahibi (kiraya veren)
verpassen,to miss (a train etc.),Goethe A2,Ich habe den Zug verpasst.,,kaçırmak (tren vb.)
verreisen,to go on a trip,Goethe A2,Verreist ihr in den Ferien?,,seyahate çıkmak
verschieben,to postpone,Goethe A2,Leider muss ich den Termin verschieben.,,ertelemek
verschieden,different,Goethe A2,Unsere beiden Kinder sind sehr verschieden.,,farklı
die Verspätung,delay,Goethe A2,Unser Zug hat 15 Minuten Verspätung.,,gecikme
verstehen,to understand,Goethe A2,Können Sie mich verstehen?,,anlamak
versuchen,to try,Goethe A2,Kann ich es auch einmal versuchen?,,denemek
der Vertrag,contract,Goethe A2,Ich muss den Vertrag noch unterschreiben.,,sözleşme
viel,"much, a lot",Goethe A2,Ich habe leider nicht viel Zeit.,,çok
vielleicht,maybe,Goethe A2,Vielleicht bekomme ich diesen Job.,,belki
der Vogel,bird,Goethe A2,Morgens singen die Vögel immer laut.,,kuş
voll,full,Goethe A2,Die Flasche ist noch ganz voll.,,dolu
wenn,"if, when",Goethe A2,"Wenn ich nicht arbeiten muss, komme ich.",,"eğer, -dığında"
wer,who,Goethe A2,Wer ist das?,,kim
werden,to become,Goethe A2,Mein Sohn will Arzt werden.,,olmak (değişim)
die Werkstatt,"repair shop, workshop",Goethe A2,Mein Auto ist in der Werkstatt.,,tamirhane
der Wettbewerb,competition,Goethe A2,Mein Sohn hat bei einem Wettbewerb gewonnen.,,yarışma
das Wetter,weather,Goethe A2,Heute ist das Wetter gut.,,hava durumu
wichtig,important,Goethe A2,"Es ist wichtig, dass Sie auch kommen.",,önemli
wie,how,Goethe A2,Wie heißt du?,,nasıl
wie viel,how much/many,Goethe A2,Wie viel kostet diese Hose?,,ne kadar
wieder,again,Goethe A2,Wann kommst du wieder?,,tekrar
wiederholen,to repeat,Goethe A2,Können Sie das bitte wiederholen?,,tekrarlamak
das Wiederhören,goodbye (on phone),Goethe A2,Also auf Wiederhören!,,hoşça kal (telefonda)
das Wiedersehen,goodbye,Goethe A2,Auf Wiedersehen!,,"hoşça kal, güle güle"
willkommen,welcome,Goethe A2,Herzlich willkommen in Berlin!,,hoş geldiniz
der Wind,wind,Goethe A2,Der Wind ist kalt.,,rüzgar
windig,windy,Goethe A2,Heute ist es sehr windig.,,rüzgarlı
wirklich,really,Goethe A2,Es ist aber wirklich so.,,gerçekten
wissen,to know (fact),Goethe A2,"Weißt du, wie der Hausmeister heißt?",,bilmek (bilgi)
der Witz,joke,Goethe A2,Wir haben Witze erzählt und viel gelacht.,,şaka
witzig,funny,Goethe A2,Ich finde das nicht witzig.,,komik
wo,where,Goethe A2,Wo waren Sie im Urlaub?,,nerede
woher,where from,Goethe A2,Woher kommen Sie?,,nereden
wohin,where to,Goethe A2,Wohin fährt dieser Bus?,,nereye
wohnen,"to live, reside",Goethe A2,Ich wohne in Kiel.,,"oturmak, ikamet etmek"
die Wohnung,apartment,Goethe A2,Meine Wohnung ist sehr hell.,,daire
das Wohnzimmer,living room,Goethe A2,Die Kinder sitzen im Wohnzimmer und sehen fern.,,oturma odası
was,what,Goethe A2,Was ist das?,,ne
die Wäsche,laundry,Goethe A2,Ich muss noch Wäsche waschen.,,çamaşır
sich waschen,to wash oneself,Goethe A2,Wo kann ich mir die Hände waschen?,,yıkanmak
das Wasser,water,Goethe A2,"Ein Glas Wasser, bitte.",,su
die Webseite,"webpage, website",Goethe A2,Es gibt viele Webseiten mit Grammatikübungen.,,web sayfası
wechseln,"to change, switch",Goethe A2,Wir müssen den Reifen wechseln.,,değiştirmek
wecken,to wake (someone) up,Goethe A2,Bitte wecken Sie mich morgen früh um fünf.,,uyandırmak
weg,"gone, away",Goethe A2,Meine Brille ist weg.,,"gitmiş, kayıp"
wegbringen,to take away,Goethe A2,Bringst du bitte den Müll weg?,,götürmek
weggehen,"to go away, leave",Goethe A2,Ich gehe jetzt weg.,,"ayrılmak, gitmek"
weglaufen,to run away,Goethe A2,Unser Hund ist weggelaufen.,,kaçmak (koşarak)
wegnehmen,to take away (from someone),Goethe A2,Warum hast du dem Kind den Ball weggenommen?,,elinden almak
wegwerfen,to throw away,Goethe A2,Sie können diese Papiere wegwerfen.,,atmak (çöpe)
der Weg,"way, path",Goethe A2,Das ist der kürzeste Weg.,,yol
wegen,because of,Goethe A2,Wegen seiner Arbeit kann er leider nicht kommen.,,"yüzünden, nedeniyle"
wehtun,to hurt,Goethe A2,Wo tut es weh?,,ağrımak
weiblich,female,Goethe A2,Wählen Sie bitte: „weiblich“ oder „männlich“.,,kadın (cinsiyet)
weich,soft,Goethe A2,Ich möchte zum Frühstück ein weiches Ei.,,yumuşak
weil,because,Goethe A2,"Ich kann nicht kommen, weil ich arbeiten muss.",,çünkü
der Wein,wine,Goethe A2,"Nein danke, ich möchte keinen Wein.",,şarap
weinen,to cry,Goethe A2,Warum weint das Baby?,,ağlamak
weit,far,Goethe A2,Zum Bahnhof ist es nicht weit.,,uzak
weiter,"further, on",Goethe A2,Der Bus fährt nicht weiter.,,daha ileri
weitermachen,to continue,Goethe A2,Können wir jetzt weitermachen?,,devam etmek
weiterhelfen,to help further,Goethe A2,Können Sie mir bitte weiterhelfen?,,yardımcı olmak
welcher,which,Goethe A2,Welcher Tag ist heute?,,hangi
die Welt,world,Goethe A2,Ich möchte gern einmal um die Welt reisen.,,dünya
wenig,"little, few",Goethe A2,Ich habe leider nur wenig verstanden.,,az
wenigstens,at least,Goethe A2,Essen Sie wenigstens ein Stück Kuchen.,,en azından
der Zirkus,circus,Goethe A2,Heute gehen wir mit den Kindern in den Zirkus.,,sirk
die Zitrone,lemon,Goethe A2,Ich trinke den Tee mit Zitrone.,,limon
der Zoo,zoo,Goethe A2,Am Sonntag gehen wir in den Zoo.,,hayvanat bahçesi
zu,"to, too",Goethe A2,Das Kleid ist mir zu teuer.,,"-e, çok (aşırı)"
der Zucker,sugar,Goethe A2,Trinken Sie den Tee mit oder ohne Zucker?,,şeker
zuerst,"first, at first",Goethe A2,Zuerst müsst ihr die Hausaufgaben machen.,,"önce, ilk olarak"
zufrieden,satisfied,Goethe A2,Ich bin mit der Wohnung zufrieden.,,memnun
der Zug,train,Goethe A2,Ich fahre gern mit dem Zug.,,tren
zuhören,to listen,Goethe A2,Hör mir doch mal zu!,,dinlemek
zuletzt,"last, finally",Goethe A2,Wir haben uns vor drei Jahren zuletzt gesehen.,,en son
zum Beispiel,for example,Goethe A2,"Mein Freund hat viele Hobbys, zum Beispiel Kochen.",,örneğin
zumachen,to close,Goethe A2,Machst du bitte das Fenster zu?,,kapatmak
zurück,back,Goethe A2,"Eine Fahrkarte nach Frankfurt und zurück, bitte.",,geri
zurückfahren,to drive/go back,Goethe A2,Fahrt ihr nach der Party zurück nach Hause?,,geri gitmek (araçla)
zurückgeben,to give back,Goethe A2,Wann muss ich das Buch zurückgeben?,,geri vermek
zurückkommen,to come back,Goethe A2,Wann kommst du zurück?,,geri gelmek
zusammen,together,Goethe A2,Wollen wir zusammen essen gehen?,,birlikte
zwischen,between,Goethe A2,Heidelberg liegt zwischen Frankfurt und Stuttgart.,,arasında
wollen,to want,Goethe A2,Wollen Sie einen Kaffee trinken?,,istemek
der Workshop,workshop,Goethe A2,Das war ein toller Workshop.,,atölye çalışması
das Wort,word,Goethe A2,Ich kenne das Wort nicht.,,kelime
wunderbar,wonderful,Goethe A2,Diese Schokolade schmeckt wunderbar.,,harika
der Wunsch,wish,Goethe A2,Was ist dein größter Wunsch?,,dilek
wünschen,to wish,Goethe A2,Ich wünsche mir eine Kamera zum Geburtstag.,,dilemek
die Wurst,sausage,Goethe A2,"Eine Wurst mit Pommes, bitte.",,sosis
die Zahl,"number, figure",Goethe A2,Können Sie die Zahl bitte wiederholen?,,sayı
zahlen,to pay,Goethe A2,"Entschuldigung, zahlen bitte!",,ödemek
der Zahn,tooth,Goethe A2,Der Zahn tut mir schon seit einer Woche weh.,,diş
zeichnen,to draw,Goethe A2,Caterina kann gut zeichnen.,,çizmek
zeigen,to show,Goethe A2,Können Sie mir bitte den Weg zum Bahnhof zeigen?,,göstermek
die Zeit,time,Goethe A2,Ich habe heute keine Zeit.,,zaman
die Zeitschrift,magazine,Goethe A2,Diese Zeitschrift kauft Andrea jede Woche.,,dergi
die Zeitung,newspaper,Goethe A2,Ich lese manchmal Zeitung.,,gazete
das Zelt,tent,Goethe A2,Im Sommer schlafen wir manchmal im Zelt.,,çadır
das Zentrum,center,Goethe A2,Der Bahnhof ist im Stadtzentrum.,,merkez
der Zettel,"note, slip of paper",Goethe A2,Schreiben Sie Ihre Telefonnummer auf den Zettel.,,"kağıt parçası, not"
das Zeugnis,"school report, certificate",Goethe A2,Morgen bekommen die Kinder ihr Zeugnis.,,"karne, belge"
anziehen,to put on (clothes),Goethe A2,Ich ziehe (mir) eine Jacke an.,,giymek (üstüne)
ausziehen,to take off (clothes),Goethe A2,Er hat sein T-Shirt ausgezogen.,,çıkarmak (üzerinden)
das Ziel,"goal, destination",Goethe A2,Er war als erster am Ziel.,,"hedef, varış"
das Zimmer,room,Goethe A2,Das Zimmer ist am größten.,,oda
