de,en,cat,ex,pos,tr
der Stift,"pen, pencil",Goethe B1,Kannst du mir bitte einen Stift geben?,,kalem
der Stil,style,Goethe B1,Ihr Stil ist sehr elegant.,,"stil, tarz"
still,"quiet, silent",Goethe B1,Sei doch mal einen Moment still!,,"sessiz, sakin"
stehen bleiben,"to stop, to stand still",Goethe B1,Bitte bleiben Sie stehen.,,"durmak, beklemek"
stehlen,to steal,Goethe B1,Gestern hat mir jemand im Zug meine Uhr gestohlen.,,çalmak
steigen,"to rise, to climb",Goethe B1,Die Preise für Milch und Gemüse sind schon wieder gestiegen.,,"yükselmek, tırmanmak"
der Stiefel,boot,Goethe B1,Ich habe mir für den Winter ein Paar warme Stiefel gekauft.,,"çizme, bot"
die Stimme,voice; vote,Goethe B1,Ich habe dich sofort an der Stimme erkannt.,,ses; oy
stimmen,to be correct; to vote,Goethe B1,Meine Adresse stimmt nicht mehr.,,doğru olmak; oy vermek
die Stimmung,"mood, atmosphere",Goethe B1,Die Stimmung war sehr gut.,,"ruh hali, atmosfer"
stinken,"to stink, to smell bad",Goethe B1,Was stinkt denn hier so? – Das ist der Fisch.,,"kokmak, pis kokmak"
der Stock,"floor, story",Goethe B1,Das Büro ist im 3. Stock.,,kat
das Stockwerk,"floor, story",Goethe B1,Das Gebäude hat zwanzig Stockwerke.,,kat
der Stoff,"fabric, material; substance",Goethe B1,Was für ein Stoff ist das? – Wolle.,,"kumaş, madde"
stolz,proud,Goethe B1,Ich bin stolz auf dich.,,gurur duymak; gururlu
stoppen,to stop,Goethe B1,Die Polizei hat mich gestoppt.,,durdurmak
stören,"to disturb, to bother",Goethe B1,Darf ich Sie einen Augenblick stören?,,rahatsız etmek
die Störung,"disturbance, interruption",Goethe B1,Entschuldigen Sie bitte die Störung.,,"rahatsızlık, kesinti"
sich stoßen,to bump into,Goethe B1,Ich habe mich an der Autotür gestoßen.,,çarpmak
die Strafe,"penalty, fine",Goethe B1,Schwarzfahren kostet 60 Euro Strafe.,,ceza
strafbar,"punishable, illegal",Goethe B1,"Was du da machst, ist strafbar.",,"cezalandırılabilir, yasadışı"
der Strafzettel,"ticket, fine notice",Goethe B1,Ich habe einmal falsch geparkt und sofort einen Strafzettel bekommen.,,ceza makbuzu
der Strand,beach,Goethe B1,Im Urlaub bin ich am liebsten am Strand.,,"sahil, plaj"
die Straße,"street, road",Goethe B1,Wir wohnen in einer sehr kleinen Straße.,,"sokak, cadde"
die Strecke,"route, distance",Goethe B1,Sind Sie die ganze Strecke zu Fuß gegangen?,,"mesafe, güzergah"
das Streichholz,match (for fire),Goethe B1,Ich hätte gern eine Schachtel Streichhölzer.,,kibrit
streiken,to go on strike,Goethe B1,Die Arbeiter streiken für höhere Löhne.,,grev yapmak
der Streik,strike,Goethe B1,Es gab einen Streik am Flughafen.,,grev
sich streiten,"to argue, to quarrel",Goethe B1,Die Kinder streiten sich oft.,,"kavga etmek, tartışmak"
der Streit,"argument, conflict",Goethe B1,Ich möchte keinen Streit mit den Nachbarn.,,"kavga, tartışma"
streng,"strict, severe",Goethe B1,Unsere Tochter hat einen sehr strengen Lehrer.,,"sert, katı"
der Stress,stress,Goethe B1,Ich habe bei der Arbeit viel Stress.,,stres
der Strom,electricity; stream,Goethe B1,Wie kann ich im Haushalt Strom sparen?,,elektrik; nehir akıntısı
der Strumpf,"stocking, sock",Goethe B1,Wo sind meine roten Strümpfe?,,çorap
das Stück,"piece, part",Goethe B1,Ich nehme zwei Stück Zucker in den Kaffee.,,parça
die Studie,"study, research",Goethe B1,Wir führen eine Studie über Arbeitslosigkeit durch.,,"çalışma, araştırma"
studieren,to study (at university),Goethe B1,Mein Sohn will Medizin studieren.,,üniversitede okumak
der Student,student,Goethe B1,Schüler und Studenten zahlen die Hälfte.,,üniversite öğrencisi
das Studium,"studies, degree program",Goethe B1,Sie brauchen für diese Stelle ein abgeschlossenes Studium.,,üniversite eğitimi
das Studio,studio,Goethe B1,Zu Gast im Studio sind heute ...,,stüdyo
die Stufe,"step, level",Goethe B1,"Vorsicht, Stufe!",,"basamak, kademe"
der Stuhl,chair,Goethe B1,Da hinten ist noch ein Stuhl frei.,,sandalye
stumm,"mute, silent",Goethe B1,Stell bitte dein Handy leise oder auf stumm.,,sessiz; dilsiz
die Stunde,hour,Goethe B1,Ich bin in einer Stunde wieder zurück.,,saat
der Sturm,storm,Goethe B1,Im Radio haben sie Regen und Sturm angesagt.,,fırtına
stürzen,"to fall, to crash",Goethe B1,Ich bin auf der Straße gestürzt und habe mir den Fuß gebrochen.,,"düşmek, devirmek"
suchen,"to search, to look for",Goethe B1,Ich suche meine Brille.,,aramak
die Sucht,addiction,Goethe B1,Die Sucht nach Medikamenten nimmt zu.,,bağımlılık
süchtig,addicted,Goethe B1,Ich bin süchtig nach Schokolade.,,bağımlı
die Summe,"sum, total",Goethe B1,Die Summe scheint mir zu hoch!,,"toplam, miktar"
super,"great, super",Goethe B1,Das war ein super Film!,,"süper, harika"
der Supermarkt,supermarket,Goethe B1,Donnerstags gehe ich immer in den Supermarkt.,,süpermarket
die Suppe,soup,Goethe B1,Schmeckt dir die Suppe?,,çorba
süß,sweet,Goethe B1,Ich esse gern süße Sachen.,,tatlı
das Symbol,symbol,Goethe B1,Das Herz ist ein Symbol für die Liebe.,,sembol
sympathisch,"likeable, pleasant",Goethe B1,Ich finde unsere neue Kollegin sehr sympathisch.,,"sempatik, hoş"
das System,system,Goethe B1,Welches Betriebssystem hast du?,,sistem
die Tabelle,"table, chart",Goethe B1,Tragen Sie die richtige Information in die Tabelle ein.,,"tablo, çizelge"
die Tablette,"tablet, pill",Goethe B1,Nehmen Sie dreimal täglich eine Tablette.,,"tablet, hap"
die Tafel,"board, tablet, bar",Goethe B1,Der Lehrer schreibt das neue Wort an die Tafel.,,tahta; çikolata tableti
der Tagesablauf,daily routine,Goethe B1,Wie ist Ihr Tagesablauf?,,günlük rutin
das Tal,valley,Goethe B1,Unser Dorf liegt in einem Tal.,,vadi
das Talent,talent,Goethe B1,Sie hat großes Talent für Musik.,,yetenek
tanken,to refuel,Goethe B1,Wir müssen unbedingt tanken.,,"benzin doldurmak, akaryakıt almak"
die Tankstelle,gas station,Goethe B1,Wo ist die nächste Tankstelle?,,benzin istasyonu
die Tante,aunt,Goethe B1,"Die Familie meiner Mutter ist sehr groß, daher habe ich viele Tanten.",,"hala, teyze"
tanzen,to dance,Goethe B1,Auf der Hochzeit haben wir viel getanzt.,,dans etmek
der Tanz,dance,Goethe B1,Diese modernen Tänze kann ich nicht.,,dans
die Tasche,"bag, pocket",Goethe B1,"Ich habe nicht viel Gepäck, nur eine Tasche.",,"çanta, cep"
das Taschengeld,pocket money,Goethe B1,Wie viel Taschengeld bekommst du im Monat?,,harçlık
das Taschentuch,"handkerchief, tissue",Goethe B1,Hast du ein Taschentuch für mich?,,"mendil, kağıt mendil"
die Tasse,cup,Goethe B1,Die Tassen sind von meiner Großmutter.,,fincan
die Tastatur,keyboard,Goethe B1,Die Tastatur an meinem Computer ist ganz neu.,,klavye
die Taste,"key, button",Goethe B1,An der Fernbedienung ist eine Taste kaputt.,,"tuş, düğme"
die Tat,"act, deed",Goethe B1,Dieser Mensch hat mit vielen guten Taten geholfen.,,"eylem, hareket"
der Täter,"perpetrator, culprit",Goethe B1,Die Polizei hat den Täter endlich gefasst.,,"fail, suçlu"
die Tätigkeit,"activity, occupation",Goethe B1,Welche Tätigkeit würde Ihnen Spaß machen?,,"faaliyet, uğraş"
die Tatsache,fact,Goethe B1,Das widerspricht den Tatsachen.,,"gerçek, olgu"
tatsächlich,"actually, indeed",Goethe B1,Die Hose ist tatsächlich zu klein.,,"gerçekten, aslında"
taub,deaf,Goethe B1,"Sie hört schlecht, sie ist schon fast taub.",,sağır
tauchen,to dive,Goethe B1,Ich möchte im Urlaub wieder tauchen gehen.,,dalmak
tauschen,"to exchange, to swap",Goethe B1,Ich würde meinen Kuchen gegen dein Brot tauschen.,,"değiştirmek, takas etmek"
die Technik,"technology, technique",Goethe B1,Ich verstehe nicht viel von Technik.,,"teknoloji, teknik"
technisch,technical,Goethe B1,Es gab ein technisches Problem.,,teknik
die Technologie,technology,Goethe B1,Große Fortschritte gab es in der Technologie.,,teknoloji
der Tee,tea,Goethe B1,Bitte einen Tee mit Zitrone.,,çay
teilen,"to share, to divide",Goethe B1,Mein Mann und ich teilen uns die Arbeit.,,"paylaşmak, bölmek"
das Teil,"part, piece, component",Goethe B1,Dieses Teil müssen wir erst bestellen.,,"parça, bileşen"
die Teilzeit,part-time,Goethe B1,Ich arbeite im Moment nur Teilzeit.,,yarı zamanlı
teilnehmen,"to participate, to attend",Goethe B1,Leider konnte ich an dem Kurs nicht regelmäßig teilnehmen.,,katılmak
die Teilnahme,participation,Goethe B1,Die Teilnahme am Gewinnspiel ist kostenlos.,,katılım
der Teilnehmer,participant,Goethe B1,Die Teilnehmerinnen aus unserem Kurs kommen aus verschiedenen Ländern.,,katılımcı
telefonieren,to talk on the phone,Goethe B1,Ich muss kurz telefonieren.,,telefon etmek
das Telefon,telephone,Goethe B1,Darf ich bitte Ihr Telefon benutzen?,,telefon
der Teller,plate,Goethe B1,Stell bitte schon mal die Teller auf den Tisch!,,tabak
die Temperatur,temperature,Goethe B1,Die Temperaturen steigen heute um 10 Grad.,,sıcaklık
das Tempo,"speed, pace",Goethe B1,Hier darfst du nur Tempo 30 fahren.,,hız
das Tennis,tennis,Goethe B1,Ich spiele gern Tennis.,,tenis
der Teppich,"carpet, rug",Goethe B1,Ich habe mir einen neuen Teppich gekauft.,,"halı, kilim"
der Termin,"appointment, date",Goethe B1,Als Termin schlage ich den 3. Mai vor.,,randevu
die Terrasse,"terrace, patio",Goethe B1,Setzen wir uns auf die Terrasse!,,teras
testen,to test,Goethe B1,Testen Sie unsere Angebote kostenlos.,,"test etmek, denemek"
der Test,test,Goethe B1,Du wirst den Test schaffen.,,"test, sınav"
teuer,expensive,Goethe B1,Ich finde das Geschäft nicht teuer.,,pahalı
der Text,text,Goethe B1,Lesen Sie den Text.,,metin
das Theater,theater,Goethe B1,Wir gehen nächste Woche ins Theater.,,tiyatro
das Thema,"topic, theme",Goethe B1,Wir haben im Kurs viel über das Thema Umwelt gesprochen.,,"konu, tema"
theoretisch,"theoretical, theoretically",Goethe B1,Ich habe die theoretische Prüfung bestanden.,,teorik
die Theorie,theory,Goethe B1,Das ist die Theorie. In der Praxis ist vieles ganz anders.,,teori
die Therapie,therapy,Goethe B1,Die Therapie hat geholfen.,,"terapi, tedavi"
das Ticket,ticket,Goethe B1,Wir müssen die Tickets für unseren Flug ausdrucken.,,bilet
tief,"deep, low",Goethe B1,"Vorsicht, Kinder! Das Wasser ist hier sehr tief.",,derin
das Tier,animal,Goethe B1,Er mag Tiere sehr und geht darum oft in den Zoo.,,hayvan
das Haustier,pet,Goethe B1,Hat deine Familie ein Haustier?,,evcil hayvan
der Tierpark,"zoo, animal park",Goethe B1,Wollen wir am Samstag mit den Kindern in den Tierpark gehen?,,hayvanat bahçesi
der Tipp,"tip, advice",Goethe B1,Kannst du mir einen Tipp geben?,,"ipucu, tavsiye"
tippen,to type,Goethe B1,Wie schnell kannst du tippen?,,yazmak (klavyede)
der Tisch,table,Goethe B1,Das Essen steht schon auf dem Tisch.,,masa
der Titel,title,Goethe B1,Wie heißt der Film? – Ich weiß den Titel nicht mehr.,,"başlık, unvan"
die Tradition,tradition,Goethe B1,Eine große Hochzeit mit vielen Leuten ist bei uns Tradition.,,gelenek
traditionell,traditional,Goethe B1,Ich mag die traditionelle Küche.,,geleneksel
tragen,to carry; to wear,Goethe B1,Lass mich den Koffer tragen.,,taşımak; giymek
trainieren,"to train, to practice",Goethe B1,Wir trainieren einmal pro Woche im Sportverein.,,antrenman yapmak
der Trainer,"coach, trainer",Goethe B1,Ich finde unseren Trainer sehr nett.,,antrenör
das Training,training,Goethe B1,Jeden Dienstag ist Training.,,antrenman
die Tochter,daughter,Goethe B1,Das ist meine Tochter Katharina.,,kız
der Tod,death,Goethe B1,Ich habe ihn vor seinem Tod noch einmal gesehen.,,ölüm
tödlich,"fatal, deadly",Goethe B1,Dieses Gift kann für den Menschen tödlich sein.,,ölümcül
die Toilette,"toilet, restroom",Goethe B1,"Wo ist die Toilette, bitte?",,tuvalet
tolerant,tolerant,Goethe B1,Wir müssen sehr tolerant sein.,,"hoşgörülü, toleranslı"
toll,"great, fantastic",Goethe B1,Ich habe mir ein tolles Kleid gekauft.,,"harika, mükemmel"
die Tomate,tomato,Goethe B1,Kauf bitte noch Tomaten auf dem Markt.,,domates
der Topf,"pot, jar",Goethe B1,Dieses Jahr haben wir keine Töpfe mit Blumen auf dem Balkon.,,"tencere, saksı"
das Tram,"tram, streetcar",Goethe B1,Fahren wir mit dem Tram oder dem Bus?,,tramvay
die Träne,tear (crying),Goethe B1,Sie trocknet dem Kind die Tränen.,,gözyaşı
transportieren,to transport,Goethe B1,Wie willst du die Möbel denn transportieren?,,taşımak
der Transport,transport,Goethe B1,Was kostet der Transport?,,"taşımacılık, nakliye"
träumen,to dream,Goethe B1,Ich habe schlecht geträumt.,,rüya görmek
der Traum,dream,Goethe B1,Mein Traum ist ein eigenes Geschäft.,,"rüya, hayal"
traurig,sad,Goethe B1,Ich bin traurig. Ich darf nicht mitfahren.,,üzgün
treffen,to meet; to hit,Goethe B1,Wir treffen uns immer freitags.,,buluşmak; isabet etmek
das Tor,gate; goal,Goethe B1,Hinter dem Tor geht es zur Fabrik.,,kapı; gol
die Torte,cake,Goethe B1,Zum Geburtstag backe ich dir eine Torte.,,"pasta, kek"
tot,dead,Goethe B1,Meine Großeltern sind schon lange tot.,,ölü
total,"totally, completely",Goethe B1,Der Film war total langweilig.,,"tamamen, toplam"
der Tourismus,tourism,Goethe B1,In dieser Gegend gibt es viel Tourismus.,,turizm
der Tourist,tourist,Goethe B1,Es kommen immer mehr Touristen in unsere Stadt.,,turist
der Treffpunkt,meeting point,Goethe B1,Unser Treffpunkt ist um 17 Uhr am Hauptbahnhof.,,buluşma noktası
treiben,"to do (sport), to drive",Goethe B1,Welchen Sport treibst du?,,yapmak; sürmek
sich trennen,"to separate, to split up",Goethe B1,Wir leben getrennt.,,ayrılmak
die Trennung,separation,Goethe B1,Die Trennung von der Familie war schwierig.,,ayrılık
die Treppe,stairs,Goethe B1,Wo ist die Toilette? – Die Treppe hoch und dann links.,,merdiven
das Treppenhaus,stairwell,Goethe B1,Im Treppenhaus ist kein Licht.,,merdiven boşluğu
treten,"to step, to kick",Goethe B1,Ich bin in ein Stück Glas getreten.,,adım atmak; tekmelemek
treu,"loyal, faithful",Goethe B1,Herr Maier ist ein treuer Kunde von uns.,,"sadık, vefalı"
trinken,to drink,Goethe B1,Trinken Sie einen Tee mit uns?,,içmek
das Trinkgeld,"tip, gratuity",Goethe B1,Ich habe dem Kellner zwei Euro Trinkgeld gegeben.,,bahşiş
trocken,dry,Goethe B1,Die Wäsche ist noch nicht trocken.,,kuru
trocknen,to dry,Goethe B1,Ich habe mir die Haare getrocknet.,,kurutmak
die Tropfen,drops (medicine),Goethe B1,Hast du die Tropfen schon genommen?,,damlalar
trotz,"despite, in spite of",Goethe B1,Trotz Grippe bin ich zur Arbeit gegangen.,,rağmen
trotzdem,"nevertheless, still",Goethe B1,Es war ziemlich kalt. Trotzdem bin ich schwimmen gegangen.,,"yine de, buna rağmen"
das Tuch,"cloth, scarf",Goethe B1,Wo hast du dieses schöne Tuch gekauft?,,"bez, eşarp"
tun,to do,Goethe B1,Ich habe heute viel zu tun.,,yapmak
die Tür,door,Goethe B1,Machen Sie bitte die Tür zu! Es zieht.,,kapı
der Turm,tower,Goethe B1,"Kommen Sie auf den Turm, von hier sieht man die ganze Stadt.",,kule
die Tüte,bag (plastic/paper),Goethe B1,Brauchen Sie eine Tüte für den Salat?,,"torba, poşet"
der Typ,"type, guy",Goethe B1,Mein Nachbar ist ein netter Typ.,,"tip, herif"
typisch,typical,Goethe B1,Im Hotel gab es typisch deutsches Essen.,,"tipik, karakteristik"
üben,to practice,Goethe B1,Ich übe jeden Tag zwei Stunden.,,"pratik yapmak, alıştırma yapmak"
die Übung,"exercise, practice",Goethe B1,Diese Übung war sehr schwer.,,"alıştırma, egzersiz"
über,"over, about, above",Goethe B1,Die Müllers wohnen direkt über uns.,,"üzerinde, hakkında"
überall,everywhere,Goethe B1,"Ich habe überall gesucht, aber meine Brille ist weg.",,her yerde
überhaupt,"at all, generally",Goethe B1,Die Suppe schmeckt mir überhaupt nicht.,,"hiç, genel olarak"
überholen,"to overtake, to pass",Goethe B1,Hier dürfen Lkws nicht überholen.,,"geçmek, sollamamak"
überlegen,"to think about, to consider",Goethe B1,Ich muss mir das noch überlegen.,,düşünmek
übermorgen,the day after tomorrow,Goethe B1,Morgen kann ich nicht. Wir sehen uns übermorgen.,,öbür gün
übernachten,to stay overnight,Goethe B1,Wir haben auf dem Campingplatz übernachtet.,,gecelemek
die Übernachtung,overnight stay,Goethe B1,In diesem Hotel kostet die Übernachtung mit Frühstück 90 Euro.,,"geceleme, gece konaklama"
übernehmen,to take over,Goethe B1,Ich habe das Geschäft von meinem Vater übernommen.,,"devralmak, üstlenmek"
überprüfen,"to check, to verify",Goethe B1,"Bitte überprüfen Sie, ob Ihr Name richtig geschrieben ist.",,kontrol etmek
überqueren,to cross,Goethe B1,Bitte die Straße nur an der Ampel überqueren.,,karşıdan karşıya geçmek
überraschen,to surprise,Goethe B1,"Ich bin ganz überrascht, dass die Wohnung so billig ist.",,şaşırtmak
die Überraschung,surprise,Goethe B1,Ich habe eine Überraschung für dich.,,sürpriz
überreden,"to persuade, to talk into",Goethe B1,"Mein Bruder hat mich überredet, einen Englischkurs zu machen.",,"ikna etmek, razı etmek"
die Überschrift,"headline, title",Goethe B1,Der Artikel erschien unter der folgenden Überschrift.,,başlık
übersetzen,to translate,Goethe B1,Können Sie mir bitte diesen Brief übersetzen?,,"çevirmek, tercüme etmek"
der Übersetzer,translator,Goethe B1,Meine Tochter möchte als Übersetzerin arbeiten.,,"çevirmen, tercüman"
die Übersetzung,translation,Goethe B1,Die Übersetzung des Buches ist sehr gut.,,"çeviri, tercüme"
die Überstunde,overtime hour,Goethe B1,Ich muss heute Überstunden machen.,,fazla mesai
übertreiben,"to exaggerate, to overdo",Goethe B1,Ein bisschen Sport ist gesund. Aber man sollte es nicht übertreiben.,,abartmak
überweisen,to transfer (money),Goethe B1,Ich überweise dir das Geld.,,havale etmek
die Überweisung,bank transfer,Goethe B1,Sie können bar oder per Überweisung bezahlen.,,banka havalesi
sich überzeugen,"to convince, to persuade",Goethe B1,Ihr Vorschlag überzeugt mich gar nicht.,,ikna etmek
die Überzeugung,"conviction, belief",Goethe B1,Wie bist du zu dieser Überzeugung gekommen?,,"inanç, kanı"
üblich,"customary, usual",Goethe B1,"In Deutschland ist es üblich, früh zu Abend zu essen.",,"alışılmış, olağan"
übrig,"left over, remaining",Goethe B1,Ist noch etwas zu essen übrig?,,"artan, kalan"
übrigens,by the way,Goethe B1,"Übrigens, kennst du schon die neuen Nachbarn?",,bu arada
das Ufer,"bank, shore",Goethe B1,Er schwimmt ans Ufer zurück.,,"kıyı, sahil"
die Uhr,"clock, watch; o'clock",Goethe B1,Wie viel Uhr ist es?,,saat
um,at (time); around; in order to,Goethe B1,Wir treffen uns um 8 Uhr.,,saat ...'da; etrafında
umarmen,"to hug, to embrace",Goethe B1,Lass dich zum Abschied umarmen.,,"sarılmak, kucaklamak"
sich umdrehen,to turn around,Goethe B1,Dreh dich mal um.,,"dönmek, çevrilmek"
die Umfrage,"survey, poll",Goethe B1,Wir machen eine Umfrage zum Thema Umweltschutz.,,anket
die Umgebung,"surroundings, area",Goethe B1,In der Umgebung von Berlin kann man schöne Ausflüge machen.,,"çevre, etraf"
umgehen,"to deal with, to handle",Goethe B1,Er kann sehr gut mit Kindern umgehen.,,"başa çıkmak, kullanmak"
umgekehrt,"the other way around, reversed",Goethe B1,"Nein, umgekehrt: erst der Vorname, dann der Nachname.",,"tersine, tam tersine"
die Umleitung,detour,Goethe B1,Es gibt wegen des Unfalls eine Umleitung.,,"sapak, yönlendirme"
umsonst,free of charge; in vain,Goethe B1,Die Reparatur war umsonst.,,bedava; boşa
umsteigen,to change (trains/buses),Goethe B1,In Ulm müssen Sie umsteigen.,,aktarma yapmak
umtauschen,to exchange,Goethe B1,Ich möchte diese Bluse umtauschen.,,"değiştirmek, geri vermek"
der Umtausch,"exchange, return",Goethe B1,Ein Umtausch ist leider nicht möglich.,,"değişim, iade"
die Umwelt,environment,Goethe B1,Alte Autos sind ein Problem für die Umwelt.,,çevre
der Umweltschutz,environmental protection,Goethe B1,Das Land muss mehr Geld für Umweltschutz ausgeben.,,çevre koruma
die Uniform,uniform,Goethe B1,"In der Schule, die sie besucht, trägt man Uniformen.",,üniforma
die Universität,university,Goethe B1,Mein Sohn studiert an der Universität.,,üniversite
unten,"below, downstairs",Goethe B1,"Wir wohnen im 3. Stock, meine Eltern unten im 1. Stock.",,aşağıda
unter,"under, below; among",Goethe B1,Unter uns wohnt eine Familie mit drei Kindern.,,altında; arasında
unterbrechen,to interrupt,Goethe B1,Wir unterbrechen die Sendung für eine wichtige Nachricht.,,"kesmek, ara vermek"
die Umweltverschmutzung,environmental pollution,Goethe B1,Die Umweltverschmutzung nimmt weiter zu.,,çevre kirliliği
umziehen,to move (residence),Goethe B1,Familie Meier ist letzten Monat umgezogen.,,taşınmak
der Umzug,"move, relocation",Goethe B1,Der Umzug ist nächste Woche.,,taşınma
sich umziehen,to change clothes,Goethe B1,"Bevor wir zur Party gehen, möchte ich mich umziehen.",,"giyinmek, kıyafet değiştirmek"
sich unterhalten,"to talk, to entertain oneself",Goethe B1,Wir haben uns über das Fußballspiel unterhalten.,,sohbet etmek
die Unterhaltung,conversation; entertainment,Goethe B1,Wir wünschen Ihnen gute Unterhaltung.,,sohbet; eğlence
die Unterkunft,accommodation,Goethe B1,Ich suche eine günstige Unterkunft.,,konaklama
die Unterlagen,"documents, papers",Goethe B1,Ich schicke Ihnen alle Unterlagen mit der Post zu.,,"belgeler, evraklar"
unbedingt,"absolutely, definitely",Goethe B1,Ich muss unbedingt mit dir sprechen.,,"kesinlikle, mutlaka"
und,and,Goethe B1,Ich habe heute und morgen frei.,,ve
der Unfall,accident,Goethe B1,Ich hatte letzte Woche einen Unfall.,,kaza
ungefähr,"approximately, about",Goethe B1,"Nicht weit, ungefähr zehn Minuten zu Fuß.",,"yaklaşık olarak, aşağı yukarı"
ungewöhnlich,"unusual, uncommon",Goethe B1,"Ich finde diese Speise ungewöhnlich, aber sie schmeckt gut.",,"olağandışı, alışılmamış"
unglaublich,"unbelievable, incredible",Goethe B1,Es ist unglaublich. Schon wieder so ein Unglück.,,"inanılmaz, akıl almaz"
das Unglück,"misfortune, accident",Goethe B1,Bei dem Unglück gab es viele Verletzte.,,"talihsizlik, felaket"
unheimlich,"eerie, spooky; incredibly",Goethe B1,Ich mag dieses Haus nicht. Es sieht unheimlich aus.,,ürkütücü; inanılmaz
unternehmen,"to undertake, to do something",Goethe B1,Wollen wir heute Abend noch etwas unternehmen?,,"bir şeyler yapmak, girişmek"
der Unternehmer,"entrepreneur, business owner",Goethe B1,Sie ist erfolgreiche Unternehmerin.,,"girişimci, işletmeci"
unterrichten,"to teach, to instruct",Goethe B1,Meine Frau unterrichtet Spanisch.,,öğretmek
der Unterricht,"class, lesson",Goethe B1,Der Unterricht dauert von 17 bis 19 Uhr.,,ders
unterscheiden,"to distinguish, to differentiate",Goethe B1,Auf dem Foto kann man euch beide nicht unterscheiden.,,ayırt etmek
der Unterschied,difference,Goethe B1,Was ist der Unterschied?,,fark
unterschiedlich,"different, varied",Goethe B1,Mein Bruder und ich sind sehr unterschiedlich.,,"farklı, çeşitli"
unterschreiben,to sign,Goethe B1,Unterschreiben Sie bitte hier unten rechts.,,imzalamak
die Unterschrift,signature,Goethe B1,Auf dem Schreiben fehlt die Unterschrift.,,imza
unterstreichen,to underline,Goethe B1,Wir sollen alle wichtigen Wörter unterstreichen.,,altını çizmek
unterstützen,to support,Goethe B1,"Sie unterstützen mich, wo sie nur können.",,desteklemek
die Unterstützung,support,Goethe B1,Ich nehme Ihre Unterstützung gern an.,,destek
untersuchen,"to examine, to investigate",Goethe B1,Sie sollten sich vom Arzt untersuchen lassen.,,"muayene etmek, incelemek"
die Untersuchung,"examination, investigation",Goethe B1,Ich habe morgen eine Untersuchung im Krankenhaus.,,"muayene, inceleme"
unterwegs,"on the way, traveling",Goethe B1,Warte auf mich. Ich bin unterwegs und komme gleich.,,"yolda, hareket halinde"
die Urkunde,"certificate, document",Goethe B1,"Wenn wir das Spiel gewinnen, bekommen wir eine Urkunde.",,"belge, sertifika"
der Urlaub,"vacation, holiday",Goethe B1,Ich habe noch drei Tage Urlaub.,,"tatil, izin"
die Ursache,"cause, reason",Goethe B1,Kennt man schon die Unfallursache?,,"neden, sebep"
verursachen,to cause,Goethe B1,Dieser Busfahrer verursachte den Unfall.,,"neden olmak, yol açmak"
ursprünglich,originally,Goethe B1,Ursprünglich wollte ich in einem Restaurant arbeiten.,,"başlangıçta, orijinal olarak"
das Urteil,"judgment, verdict",Goethe B1,Dein Urteil ist für mich sehr wichtig.,,"yargı, karar"
die Vase,vase,Goethe B1,Hast du eine Vase für die Blumen?,,vazo
der Vater,father,Goethe B1,Mein Vater arbeitet in einem Restaurant.,,baba
vegetarisch,vegetarian,Goethe B1,Ich esse am liebsten vegetarisch.,,vejetaryen
sich verabreden,"to make an appointment, to arrange to meet",Goethe B1,Wir haben uns mit Freunden verabredet.,,"randevulaşmak, buluşmak"
die Verabredung,"appointment, date",Goethe B1,Ich habe um 15 Uhr eine Verabredung mit Klaus.,,"randevu, buluşma"
sich verabschieden,to say goodbye,Goethe B1,Ich wurde von meinen Freunden sehr nett verabschiedet.,,veda etmek
der Abschied,"farewell, goodbye",Goethe B1,Der Abschied von meinen Freunden fiel mir schwer.,,veda
sich verändern,"to change, to alter",Goethe B1,Wir müssen die Organisation verändern.,,"değişmek, değiştirmek"
die Veranstaltung,event,Goethe B1,Am Samstag ist unser Lokal geschlossen. Wir haben eine Veranstaltung.,,"etkinlik, organizasyon"
verantwortlich,responsible,Goethe B1,Sie sind für Ihre Kinder verantwortlich.,,sorumlu
die Verantwortung,responsibility,Goethe B1,Sie tragen die Verantwortung für Ihre Kinder.,,sorumluluk
sich verbessern,to improve,Goethe B1,Ich habe mein Deutsch verbessert.,,"geliştirmek, iyileştirmek"
verbieten,"to forbid, to ban",Goethe B1,Ich werde meinen Kindern das Rauchen verbieten.,,yasaklamak
das Verbot,"ban, prohibition",Goethe B1,Ich bin für das Verbot dieses neuen Videospiels.,,yasak
verbinden,"to connect, to bandage",Goethe B1,Wir müssen die Wunde sofort verbinden.,,bağlamak; sarmak (yara)
die Verbindung,"connection, link",Goethe B1,Die Verbindung ist sehr gut.,,bağlantı
verbrauchen,"to consume, to use up",Goethe B1,Wie viel Benzin verbraucht dein Auto?,,"tüketmek, kullanmak"
der Verbrecher,criminal,Goethe B1,Die Polizei hat den Verbrecher verhaftet.,,"suçlu, katil"
sich verbrennen,to burn oneself,Goethe B1,Ich werde alle Briefe verbrennen.,,yakmak; yanmak
verbringen,to spend (time),Goethe B1,Wie haben Sie Ihren Urlaub verbracht?,,geçirmek (zaman)
der Verdacht,suspicion,Goethe B1,"Ich weiß es nicht, aber ich habe einen Verdacht.",,"şüphe, kuşku"
verdächtig,suspicious,Goethe B1,Die Tür war nicht abgeschlossen. Das ist verdächtig.,,"şüpheli, kuşku uyandıran"
verdienen,to earn,Goethe B1,In diesem Beruf verdient man gut.,,kazanmak
